generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,checkpoint_path,checkpoint_sha256,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,attack_iterations,attack_convergence_status,size_bytes,extension,created_at
img_00012915__one_pixel__efficientnet_b0,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00012915__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.932888388633728, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.932888388633728, ""weapon"": 0.06711161136627197}, ""adversarial_true_label_probability"": 0.932888388633728, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [793.7808763618325, 457.6603316487275, 7.070406208485608, 0.6243120675689369, 4.263893900153931], ""best_rgb"": [7, 1, 4], ""best_x"": 794, ""best_y"": 458, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 318770344, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.932888388633728, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.937947154045105, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.937947154045105, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00017430556181352586, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 434.76544189453125, ""perturbation_norm_linf"": 254.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.937947154045105,0.932888388633728,True,True,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,bf46d8962c402b5d6d7909751f1dc9f88a9f58e3cd1d8c356783bd9135496253,13f4757f6e9cc281c6489a1558ec26f3,3,434.76544189453125,254.0,0.00017430556181352586,50,not_computed,341283,.png,2026-05-06T17:25:27+00:00
img_00012922__one_pixel__efficientnet_b0,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00012922__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9926701784133911, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9926701784133911, ""weapon"": 0.007329863496124744}, ""adversarial_true_label_probability"": 0.9926701784133911, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [554.7004584496877, 452.88321438473935, 6.753667867268163, 12.293901941795411, 9.471429859132613], ""best_rgb"": [7, 12, 9], ""best_x"": 555, ""best_y"": 453, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 3867814033, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9926701784133911, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9938289523124695, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9938289523124695, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0002456666552461684, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 425.52203369140625, ""perturbation_norm_linf"": 248.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9938289523124695,0.9926701784133911,True,True,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,2461fcc32ecde6004114ad02894ae4c741b1613f7f49eb23a7e51542b0c4e502,43349272c45a43625a1e930345eac800,3,425.52203369140625,248.0,0.0002456666552461684,50,not_computed,384500,.png,2026-05-06T17:25:27+00:00
img_00013086__one_pixel__efficientnet_b0,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013086__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9864138960838318, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9864138960838318, ""weapon"": 0.013586130924522877}, ""adversarial_true_label_probability"": 0.9864138960838318, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [809.644952711059, 42.146439783162975, 206.96508424554298, 3.669264473241398, 6.6493133838636], ""best_rgb"": [207, 4, 7], ""best_x"": 810, ""best_y"": 42, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 3882747586, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9864138960838318, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9873360991477966, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9873360991477966, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00018233332957606763, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 356.1025085449219, ""perturbation_norm_linf"": 251.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9873360991477966,0.9864138960838318,True,True,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,cd58f83c8699ec50e3ec6e840517d2e1eab2556d6d406c48b719aec33128c816,b48d621198dac7efe631cd1b2a5ef8ee,3,356.1025085449219,251.0,0.00018233332957606763,50,not_computed,348237,.png,2026-05-06T17:25:27+00:00
img_00013088__one_pixel__efficientnet_b0,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013088__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9992625117301941, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9992625117301941, ""weapon"": 0.0007374320412054658}, ""adversarial_true_label_probability"": 0.9992625117301941, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [564.3733594716208, 248.95801997102666, 249.78565673991076, 230.80691746115096, 194.7567506005845], ""best_rgb"": [250, 231, 195], ""best_x"": 564, ""best_y"": 249, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 3692019257, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9992625117301941, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9993191957473755, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9993191957473755, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00020438397768884897, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 392.2830505371094, ""perturbation_norm_linf"": 250.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9993191957473755,0.9992625117301941,True,True,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,4efa4e99121311e839f9faa6b2d8e096628d2f98a0ec9c0a5ad668616f1c8edd,85ca3b968771ac621a3ca9c147cae586,3,392.2830505371094,250.0,0.00020438397768884897,50,not_computed,408868,.png,2026-05-06T17:25:27+00:00
img_00013098__one_pixel__efficientnet_b0,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013098__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9937833547592163, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9937833547592163, ""weapon"": 0.006216660141944885}, ""adversarial_true_label_probability"": 0.9937833547592163, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [569.1859957572003, 205.34430052445205, 244.3894267632017, 7.035834398124308, 83.51109397767803], ""best_rgb"": [244, 7, 84], ""best_x"": 569, ""best_y"": 205, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 2398328044, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9937833547592163, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9981022477149963, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9981022477149963, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00039814814226701856, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 301.43988037109375, ""perturbation_norm_linf"": 248.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9981022477149963,0.9937833547592163,True,True,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,24a73c286dd6abe009e8aee4076bbe6e8161f1d9200e15aebff7e7c0802d1843,8efeff0b8bf87da482239fd81b9026cd,3,301.43988037109375,248.0,0.00039814814226701856,50,not_computed,88779,.png,2026-05-06T17:25:27+00:00
img_00013102__one_pixel__efficientnet_b0,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013102__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9997935891151428, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9997935891151428, ""weapon"": 0.00020639176364056766}, ""adversarial_true_label_probability"": 0.9997935891151428, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [634.0766300324594, 939.2239523123037, 17.03899173101381, 13.437975398923172, 2.8690605972047365], ""best_rgb"": [17, 13, 3], ""best_x"": 634, ""best_y"": 939, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 21684538, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9997935891151428, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9998056292533875, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9998056292533875, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0001478083577239886, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 368.4589538574219, ""perturbation_norm_linf"": 220.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9998056292533875,0.9997935891151428,True,True,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,9d1cf720e37e5ac7e2eccf4a738af6af96153328aa2abc55c1f603b2aec506c8,e6bf36dc93b57d9b49c00eab89012f09,3,368.4589538574219,220.0,0.0001478083577239886,50,not_computed,402643,.png,2026-05-06T17:25:27+00:00
img_00013494__one_pixel__efficientnet_b0,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013494__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.871886670589447, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.871886670589447, ""weapon"": 0.12811331450939178}, ""adversarial_true_label_probability"": 0.871886670589447, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [528.9391088465545, 82.94906745173262, 29.284958248523566, 3.349015911142274, 30.174322058783233], ""best_rgb"": [29, 3, 30], ""best_x"": 529, ""best_y"": 83, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 551732634, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.871886670589447, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.8773835301399231, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.8773835301399231, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0003934405685868114, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 365.0547790527344, ""perturbation_norm_linf"": 227.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.8773835301399231,0.871886670589447,True,True,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,ae97878ac4b2b60c7f981190ea4e7acfc33d5ece83f93f1af04a5c092fb10ffb,863ebfe2f79b75bb4de568e744fff8bb,3,365.0547790527344,227.0,0.0003934405685868114,50,not_computed,680596,.png,2026-05-06T17:25:27+00:00
img_00013495__one_pixel__efficientnet_b0,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013495__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9293712377548218, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9293712377548218, ""weapon"": 0.07062874734401703}, ""adversarial_true_label_probability"": 0.9293712377548218, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [619.4074602996754, 76.74087765149247, 31.57425413228951, 1.496918002587904, 4.150189202811987], ""best_rgb"": [32, 1, 4], ""best_x"": 619, ""best_y"": 77, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 3920913106, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9293712377548218, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9341734051704407, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9341734051704407, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.000405791710363701, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 379.6695861816406, ""perturbation_norm_linf"": 247.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9341734051704407,0.9293712377548218,True,True,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,82f56ca0b88190995b76d2271a1b363e2f8f5762b703cb64c71a584aa366d9cb,fbdfde50a9aa51bb2d221104c200f479,3,379.6695861816406,247.0,0.000405791710363701,50,not_computed,520751,.png,2026-05-06T17:25:27+00:00
img_00013559__one_pixel__efficientnet_b0,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013559__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9976181387901306, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9976181387901306, ""weapon"": 0.0023818144109100103}, ""adversarial_true_label_probability"": 0.9976181387901306, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [53.470856365436134, 363.80092863348705, 64.94531130874479, 14.634733771123706, 14.26435256536709], ""best_rgb"": [65, 15, 14], ""best_x"": 53, ""best_y"": 364, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 430986573, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9976181387901306, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9977389574050903, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9977389574050903, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00027518044225871563, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 389.5908203125, ""perturbation_norm_linf"": 241.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9977389574050903,0.9976181387901306,True,True,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,66287868316c736816f8912f2761459a77b694361bccc2ac95aadfd7aa1a58ad,d9a39d19c2a556a9e681a8f14f6e2114,3,389.5908203125,241.0,0.00027518044225871563,50,not_computed,594555,.png,2026-05-06T17:25:27+00:00
img_00013614__one_pixel__efficientnet_b0,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013614__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9775480031967163, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9775480031967163, ""weapon"": 0.02245205081999302}, ""adversarial_true_label_probability"": 0.9775480031967163, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [168.79469854961133, 333.7122134808734, 229.39257518901906, 252.5164476390014, 208.9122650739821], ""best_rgb"": [229, 253, 209], ""best_x"": 169, ""best_y"": 334, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 100, ""image_seed"": 1041573690, ""input_size"": 224, ""iterations_used"": 50, ""max_iterations"": 50, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9775480031967163, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9783229827880859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9783229827880859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0004513448802754283, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 336.7625427246094, ""perturbation_norm_linf"": 218.0, ""polish"": false, ""population_size"": 20, ""queries_used"": 5101, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9783229827880859,0.9775480031967163,True,True,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,9f67a203b60e54d2788da2826c85a1bfc826f31b2754cfe2345f40de403f9783,21837db6d1c945b3f4dd9aae23a273a5,3,336.7625427246094,218.0,0.0004513448802754283,50,not_computed,528095,.png,2026-05-06T17:25:27+00:00
