tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
magnet_axiom,all,all,all,all,11500,11500,11000,11000,0,4958,191,5309,542,0.933364,0.933364,0.962905,0.901455,0.965273,0.931167,0.098545,0.034727,500,180,320,0,0.360000
magnet_axiom,sample_type,clean,all,all,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,180,320,0,0.360000
magnet_axiom,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4493,176,4824,507,0.931700,0.931700,0.962305,0.898600,0.964800,0.929362,0.101400,0.035200,0,0,0,0,
magnet_axiom,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2211,95,2405,289,0.923200,0.923200,0.958803,0.884400,0.962000,0.920100,0.115600,0.038000,0,0,0,0,
magnet_axiom,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2282,81,2419,218,0.940200,0.940200,0.965722,0.912800,0.967600,0.938515,0.087200,0.032400,0,0,0,0,
magnet_axiom,attack_family,all,none,all,1500,1500,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,500,180,320,0,0.360000
magnet_axiom,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,467,16,484,33,0.951000,0.951000,0.966874,0.934000,0.968000,0.950153,0.066000,0.032000,0,0,0,0,
magnet_axiom,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,404,37,463,96,0.867000,0.867000,0.916100,0.808000,0.926000,0.858661,0.192000,0.074000,0,0,0,0,
magnet_axiom,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,428,12,488,72,0.916000,0.916000,0.972727,0.856000,0.976000,0.910638,0.144000,0.024000,0,0,0,0,
magnet_axiom,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,447,15,485,53,0.932000,0.932000,0.967532,0.894000,0.970000,0.929314,0.106000,0.030000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,465,14,486,35,0.951000,0.951000,0.970772,0.930000,0.972000,0.949949,0.070000,0.028000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,440,13,487,60,0.927000,0.927000,0.971302,0.880000,0.974000,0.923400,0.120000,0.026000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,460,24,476,40,0.936000,0.936000,0.950413,0.920000,0.952000,0.934959,0.080000,0.048000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,464,20,480,36,0.944000,0.944000,0.958678,0.928000,0.960000,0.943089,0.072000,0.040000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,resample_resize,1000,1000,1000,1000,0,453,10,490,47,0.943000,0.943000,0.978402,0.906000,0.980000,0.940810,0.094000,0.020000,0,0,0,0,
magnet_axiom,attack_name,all,none,clean,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,attack_name,all,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,180,320,0,0.360000
magnet_axiom,sample_type_attack,clean,none,clean,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,sample_type_attack,ood,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,180,320,0,0.360000
magnet_axiom,sample_type_attack,perturbed,adversarial,color_shift,1000,1000,1000,1000,0,467,16,484,33,0.951000,0.951000,0.966874,0.934000,0.968000,0.950153,0.066000,0.032000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,adversarial,fgsm,1000,1000,1000,1000,0,404,37,463,96,0.867000,0.867000,0.916100,0.808000,0.926000,0.858661,0.192000,0.074000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,adversarial,one_pixel,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,adversarial,sigma_zero,1000,1000,1000,1000,0,428,12,488,72,0.916000,0.916000,0.972727,0.856000,0.976000,0.910638,0.144000,0.024000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,adversarial,superdeepfool,1000,1000,1000,1000,0,447,15,485,53,0.932000,0.932000,0.967532,0.894000,0.970000,0.929314,0.106000,0.030000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,465,14,486,35,0.951000,0.951000,0.970772,0.930000,0.972000,0.949949,0.070000,0.028000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,440,13,487,60,0.927000,0.927000,0.971302,0.880000,0.974000,0.923400,0.120000,0.026000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,460,24,476,40,0.936000,0.936000,0.950413,0.920000,0.952000,0.934959,0.080000,0.048000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,464,20,480,36,0.944000,0.944000,0.958678,0.928000,0.960000,0.943089,0.072000,0.040000,0,0,0,0,
